Home Team,Away Team,Start Time,Player Type,Player Name,Strikeouts,Walks,Strikes,Single,Double,Triple,Home Runs
Miami Marlins,New York Mets,Sat Apr 06 2024 09:30:10 GMT-0700 (Pacific Daylight Time),Hitter,Conrad Kovacek Sr.,,,,2,0,1,0
Miami Marlins,New York Mets,Sat Apr 06 2024 09:30:10 GMT-0700 (Pacific Daylight Time),Pitcher,Erica Walker,11,1,8,,,,
Miami Marlins,New York Mets,Sat Apr 06 2024 09:30:10 GMT-0700 (Pacific Daylight Time),Pitcher,Miriam Schaefer,4,3,0,,,,
Miami Marlins,New York Mets,Sat Apr 06 2024 09:30:10 GMT-0700 (Pacific Daylight Time),Hitter,Salvador Nader,,,,2,0,1,0
Miami Marlins,New York Mets,Sat Apr 06 2024 09:30:10 GMT-0700 (Pacific Daylight Time),Hitter,Ms. Laverne Connelly,,,,3,2,1,0
Miami Marlins,New York Yankees,Fri Apr 05 2024 05:09:04 GMT-0700 (Pacific Daylight Time),Pitcher,Dr. Kristi Konopelski,4,5,15,,,,
Miami Marlins,New York Yankees,Fri Apr 05 2024 05:09:04 GMT-0700 (Pacific Daylight Time),Pitcher,Rachael Erdman,4,2,7,,,,
Miami Marlins,New York Yankees,Fri Apr 05 2024 05:09:04 GMT-0700 (Pacific Daylight Time),Pitcher,Gregg Stokes,11,1,10,,,,
Miami Marlins,New York Yankees,Fri Apr 05 2024 05:09:04 GMT-0700 (Pacific Daylight Time),Hitter,Jason Lemke,,,,1,3,1,2
Miami Marlins,New York Yankees,Fri Apr 05 2024 05:09:04 GMT-0700 (Pacific Daylight Time),Pitcher,Franklin Zieme,6,0,9,,,,
Miami Marlins,Tampa Bay Rays,Mon Apr 08 2024 02:06:34 GMT-0700 (Pacific Daylight Time),Hitter,Sadie Stanton,,,,4,0,0,0
Miami Marlins,Tampa Bay Rays,Mon Apr 08 2024 02:06:34 GMT-0700 (Pacific Daylight Time),Hitter,Abel Jacobs,,,,4,3,2,1
Miami Marlins,Tampa Bay Rays,Mon Apr 08 2024 02:06:34 GMT-0700 (Pacific Daylight Time),Pitcher,Santos Kertzmann,10,0,12,,,,
Miami Marlins,Tampa Bay Rays,Mon Apr 08 2024 02:06:34 GMT-0700 (Pacific Daylight Time),Hitter,Omar Reynolds,,,,0,0,2,1
Miami Marlins,Tampa Bay Rays,Mon Apr 08 2024 02:06:34 GMT-0700 (Pacific Daylight Time),Pitcher,Mrs. Patsy Doyle,13,1,16,,,,
Miami Marlins,Arizona Diamondbacks,Sat Apr 06 2024 19:21:44 GMT-0700 (Pacific Daylight Time),Hitter,Terrance Rolfson,,,,5,1,0,1
Miami Marlins,Arizona Diamondbacks,Sat Apr 06 2024 19:21:44 GMT-0700 (Pacific Daylight Time),Pitcher,Shirley Bogisich,14,3,14,,,,
Miami Marlins,Arizona Diamondbacks,Sat Apr 06 2024 19:21:44 GMT-0700 (Pacific Daylight Time),Hitter,Jennifer Renner IV,,,,5,0,0,2
Miami Marlins,Arizona Diamondbacks,Sat Apr 06 2024 19:21:44 GMT-0700 (Pacific Daylight Time),Hitter,Judy Stanton,,,,5,2,2,0
Miami Marlins,Arizona Diamondbacks,Sat Apr 06 2024 19:21:44 GMT-0700 (Pacific Daylight Time),Pitcher,Robin Schuppe,10,2,19,,,,
