NAME,SPORT
Arizona Diamondbacks,MLB
Atlanta Braves,MLB
Baltimore Orioles,MLB
Boston Red Sox,MLB
Chicago Cubs,MLB
Chicago White Sox,MLB
Cincinnati Reds,MLB
Cleveland Guardians,MLB
Colorado Rockies,MLB
Detroit Tigers,MLB
Houston Astros,MLB
Kansas City Royals,MLB
Los Angeles Angels,MLB
Los Angeles Dodgers,MLB
Miami Marlins,MLB
Milwaukee Brewers,MLB
Minnesota Twins,MLB
New York Mets,MLB
New York Yankees,MLB
Oakland Athletics,MLB
Philadelphia Phillies,MLB
Pittsburgh Pirates,MLB
San Diego Padres,MLB
San Francisco Giants,MLB
Seattle Mariners,MLB
St. Louis Cardinals,MLB
Tampa Bay Rays,MLB
Texas Rangers,MLB
Toronto Blue Jays,MLB
Washington Nationals,MLB
Atlanta Hawks,NBA
Boston Celtics,NBA
Charlotte Bobcats,NBA
Chicago Bulls,NBA
Cleveland Cavaliers,NBA
Dallas Mavericks,NBA
Denver Nuggets,NBA
Detroit Pistons,NBA
Golden State Warriors,NBA
Houston Rockets,NBA
Indiana Pacers,NBA
LA Clippers,NBA
LA Lakers,NBA
Memphis Grizzlies,NBA
Miami Heat,NBA
Milwaukee Bucks,NBA
Minnesota Timberwolves,NBA
New Jersey Nets,NBA
New Orleans Hornets,NBA
New York Knicks,NBA
Oklahoma City Thunder,NBA
Orlando Magic,NBA
Philadelphia Sixers,NBA
Phoenix Suns,NBA
Portland Trail Blazers,NBA
Sacramento Kings,NBA
San Antonio Spurs,NBA
Toronto Raptors,NBA
Utah Jazz,NBA
Washington Wizards,NBA
